"study","section","config","n","baseline_f1","refinement_f1","guardrag_f1","baseline_em","refinement_em","guardrag_em","baseline_halluc","refinement_halluc","guardrag_halluc","baseline_tokens","refinement_tokens","guardrag_tokens","baseline_latency_s","refinement_latency_s","guardrag_latency_s","debate_rate","delta_f1_vs_baseline","delta_f1_pct_vs_baseline","delta_f1_vs_refinement","delta_f1_pct_vs_refinement","notes"
"component_ablation","7_component_ablation","w/o dual retrieval (T3 k=6 not k=12)","150","","","0.608","","","","","","","","","","","","","","-0.016","-2.6%","","","Misses numerator/denominator rows in pct-change Qs; richer context needed for PoT extraction"
"component_ablation","7_component_ablation","w/o GPT-4o generation (use T2 draft)","150","","","0.603","","","","","","","","","","","","","","-0.021","-3.4%","","","Debates weaker GPT-4o-mini answer; ceiling too low for debate to overcome"
"component_ablation","7_component_ablation","w/ PoT override (not advisory signal)","150","","","0.596","","","","","","","","","","","","","","-0.028","-4.5%","","","WORST config; extraction errors propagate unchecked bypassing debate correction"
"component_ablation","7_component_ablation","w/ debate on text/span questions","150","","","0.611","","","","","","","","","","","","","","-0.013","-2.1%","","","Skeptic flags correct spans as unsupported (no numeric anchor to verify)"
"component_ablation","7_component_ablation","w/ uniform debate (gatekeeper removed)","150","","","0.609","","","","","","","","","","","","","1.0","-0.015","-2.4%","","","All Qs debated; text regressions dominate; confirms selectivity is essential"
"component_ablation","7_component_ablation","w/o PoT advisory signal","150","","","0.617","","","","","","","","","","","","","","-0.007","-1.1%","","","Adjudicator loses numeric verification for arithmetic Qs"
"component_ablation","7_component_ablation","w/o DSPy CoT (plain verdict prompt)","150","","","0.618","","","","","","","","","","","","","","-0.006","-1.0%","","","No explicit reasoning trace; loses formula-direction corrections in REVISE cases"
"signal_ablation","8_signal_ablation","All 6 signals active","15","","","0.654","","","","","","","","","","","","","0.667","","","","","Online ablation n=15; higher F1 than n=300 due to easy subsample; baseline for signal ablation"
"signal_ablation","8_signal_ablation","w/o heuristic_arithmetic (weight=0.6)","15","","","0.521","","","","","","","","","","","","","0.533","-0.133","-20.3%","","","Most impactful; arithmetic Qs (score=0.6) drop below threshold -> lose PoT+debate entirely"
"signal_ablation","8_signal_ablation","w/o heuristic_insufficient_info (weight=0.4)","15","","","0.521","","","","","","","","","","","","","0.667","-0.133","-20.3%","","","Equally impactful; list Qs with empty answers no longer escalate"
"signal_ablation","8_signal_ablation","w/o heuristic_multispan (weight=0.5)","15","","","0.587","","","","","","","","","","","","","0.6","-0.067","-10.2%","","","Multi-entity Qs lose trigger; moderate impact"
"signal_ablation","8_signal_ablation","w/o nli_low_grounding (weight=0.3)","15","","","0.587","","","","","","","","","","","","","0.667","-0.067","-10.2%","","","Low-grounding answers bypass debate; NLI catches hallucination-prone answers"
"signal_ablation","8_signal_ablation","w/o heuristic_missing_rows (weight=0.3)","15","","","0.654","","","","","","","","","","","","","0.667","0.000","0.0%","","","No impact at n=15; fires only on list Qs where row labels absent from answer"
"signal_ablation","8_signal_ablation","w/o heuristic_too_long (weight=0.2)","15","","","0.654","","","","","","","","","","","","","0.667","0.000","0.0%","","","Lowest-weight signal; rarely sole trigger; minimal individual impact"
"gatekeeper_signals","9_signal_reference","heuristic_arithmetic","","","","","","","","","","","","","","","","","","","","","","weight=0.6 | fires: arithmetic keyword regex (percentage change / difference / ratio / sum / grew / fell)"
"gatekeeper_signals","9_signal_reference","heuristic_multispan","","","","","","","","","","","","","","","","","","","","","","weight=0.5 | fires: multispan keyword regex (respectively / each of / both / each year)"
"gatekeeper_signals","9_signal_reference","heuristic_insufficient_info","","","","","","","","","","","","","","","","","","","","","","weight=0.4 | fires: answer contains insufficient-info phrase AND structured table chunks retrieved"
"gatekeeper_signals","9_signal_reference","nli_low_grounding","","","","","","","","","","","","","","","","","","","","","","weight=0.3 | fires: DeBERTa-v3-small NLI entailment score < 0.35 threshold"
"gatekeeper_signals","9_signal_reference","heuristic_missing_rows","","","","","","","","","","","","","","","","","","","","","","weight=0.3 | fires: list-type question AND < 2 table row labels found in answer"
"gatekeeper_signals","9_signal_reference","heuristic_too_long","","","","","","","","","","","","","","","","","","","","","","weight=0.2 | fires: answer word count > 80 (over-generation risk)"
"gatekeeper_signals","9_signal_reference","THRESHOLD","","","","","","","","","","","","","","","","","","","","","","theta=0.35 | debate triggered when sum(fired_weights) >= 0.35 | covers all arithmetic (>=0.6) and multispan (>=0.5)"
"threshold_sweep","10_threshold_sweep","T=0.35 (selected)","150","","","0.6247","","","","","","","","","","","","","0.56","","","","","Optimal; full coverage of arithmetic + most multispan; leaves text below threshold"
"threshold_sweep","10_threshold_sweep","T=0.40","150","","","0.6247","","","","","","","","","","","","","0.56","","","","","Same debated set as T=0.35 on this sample"
"threshold_sweep","10_threshold_sweep","T=0.45","150","","","0.6247","","","","","","","","","","","","","0.56","","","","","Same debated set"
"threshold_sweep","10_threshold_sweep","T=0.50","150","","","0.6247","","","","","","","","","","","","","0.56","","","","","Same debated set; T=0.35-0.50 is stable plateau"
"threshold_sweep","10_threshold_sweep","T=0.55","150","","","0.6113","","","","","","","","","","","","","0.52","","","","","F1 drops; borderline multispan Qs (score~0.5) start bypassing"
"threshold_sweep","10_threshold_sweep","T=0.60","150","","","0.6113","","","","","","","","","","","","","0.52","","","","",""
"threshold_sweep","10_threshold_sweep","T=0.70","150","","","0.6113","","","","","","","","","","","","","0.5","","","","",""
"threshold_sweep","10_threshold_sweep","T=0.80","150","","","0.6113","","","","","","","","","","","","","0.5","","","","",""
"threshold_sweep","10_threshold_sweep","T=1.00 (no debate)","150","","","0.594","","","","","","","","","","","","","0.28","","","","","Maximum bypass; reverts toward baseline; confirms debate value"
"prior_work","11_prior_work","TAGOP (fine-tuned)","","","","","","","","","","","","","","","","","","","","","","F1=0.735 EM=0.583 | full test set | task-specific architecture | fine-tuned on TAT-QA"
"prior_work","11_prior_work","FinQANet (fine-tuned)","","","","","","","","","","","","","","","","","","","","","","F1=0.618 EM=0.492 | full test set | trained end-to-end on financial QA data"
"prior_work","11_prior_work","Baseline RAG (ours)","300","0.561","","","0.507","","","","","","","","","","","","","","","","","Zero-shot; no fine-tuning; train split only"
"prior_work","11_prior_work","Refinement (ours)","300","","0.593","","","0.539","","","","","","","","","","","","","","","","Zero-shot; no fine-tuning"
"prior_work","11_prior_work","GUARD-RAG (ours)","300","","","0.629","","","0.576","","","","","","","","","","","","","","","Zero-shot; closes ~39% of F1 gap to TAGOP without fine-tuning; beats FinQANet on EM (0.576 vs 0.492)"
"key_findings","12_key_findings","PoT override vs advisory signal","150","","","","","","","","","","","","","","","","","-0.028","-4.5%","","","Direct PoT override degrades F1 by -4.5%; extraction errors propagate unchecked through debate"
"key_findings","12_key_findings","Debate harm on text/span","150","","","","","","","","","","","","","","","","","-0.013","-2.1%","","","Skeptic over-challenges correct spans; no numeric anchor; design correctly bypasses debate for text"
"key_findings","12_key_findings","Refinement hallucination paradox","300","","","","","","","0.728","0.733","","","","","","","","","+0.005 halluc","worse","","","Structural: elaboration generates more sentences -> more non-entailed claims; self-refine != grounding"
"key_findings","12_key_findings","GUARD-RAG advantage grows with scale","","","","","","","","","","","","","","","","","","+2.7 -> +6.8 F1 pts","","","","Harder Qs at n=300 are exactly where debate helps most (multi-row arithmetic / multispan)"
"key_findings","12_key_findings","High-precision REVISE rate","300","","","","","","","","","","","","","","","","0.023","","","","","Only 2.3% of Qs need correction; confirms gatekeeper selectivity + debate quality"
"key_findings","12_key_findings","Zero ABSTAIN rate","300","","","","","","","","","","","","","","","","0.0","","","","","GUARD-RAG always produces a substantive answer; debate confirms or refines but never fully withholds"
